"rid";"_countries_rid";"name";"archive";"display_name"
80;6;"Пермский край ";false;"Пермский край "
81;6;"Приморский край";false;"Приморский край"
82;6;"Псковская область ";false;"Псковская область "
83;6;"Республика Алтай";false;"Республика Алтай"
84;6;"Республика Башкортостан";false;"Республика Башкортостан"
85;6;"Республика Бурятия";false;"Республика Бурятия"
86;6;"Республика Дагестан";false;"Республика Дагестан"
87;6;"Республика Ингушетия";false;"Республика Ингушетия"
88;6;"Республика Кабардино-Балкария";false;"Республика Кабардино-Балкария"
89;6;"Республика Калмыкия";false;"Республика Калмыкия"
90;6;"Республика Карелия";false;"Республика Карелия"
91;6;"Республика Коми";false;"Республика Коми"
92;6;"Республика Марий Эл";false;"Республика Марий Эл"
93;6;"Республика Мордовия";false;"Республика Мордовия"
94;6;"Республика Саха(Якутия)";false;"Республика Саха(Якутия)"
95;6;"Республика Северная Осетия";false;"Республика Северная Осетия"
96;6;"Республика Татарстан";false;"Республика Татарстан"
97;6;"Республика Тыва (Тува)";false;"Республика Тыва (Тува)"
98;6;"Республика Хакасия";false;"Республика Хакасия"
99;6;"Ростовская область ";false;"Ростовская область "
100;6;"Рязанская область ";false;"Рязанская область "
101;6;"Самарская область ";false;"Самарская область "
102;6;"Санкт-Петербург ";false;"Санкт-Петербург "
103;6;"Саратовская область ";false;"Саратовская область "
104;6;"Сахалинская область ";false;"Сахалинская область "
105;6;"Свердловская область ";false;"Свердловская область "
106;6;"Смоленская область ";false;"Смоленская область "
107;6;"Ставропольский край";false;"Ставропольский край"
108;6;"Таймырский (Долгано-Ненецкий) АО ";false;"Таймырский (Долгано-Ненецкий) АО "
109;6;"Тамбовская область ";false;"Тамбовская область "
110;6;"Тверская область ";false;"Тверская область "
111;6;"Томская область ";false;"Томская область "
112;6;"Тульская область ";false;"Тульская область "
113;6;"Тюменская область ";false;"Тюменская область "
114;6;"Удмуртская Республика";false;"Удмуртская Республика"
115;6;"Ульяновская область ";false;"Ульяновская область "
116;6;"Усть-Ордынский Бурятский АО ";false;"Усть-Ордынский Бурятский АО "
117;6;"Хабаровский край";false;"Хабаровский край"
118;6;"Ханты-Мансийский АО ";false;"Ханты-Мансийский АО "
119;6;"Челябинская область ";false;"Челябинская область "
120;6;"Чеченская Республика";false;"Чеченская Республика"
121;6;"Читинская область ";false;"Читинская область "
122;6;"Чувашская Республика";false;"Чувашская Республика"
123;6;"Чукотский АО ";false;"Чукотский АО "
124;6;"Эвенкийский АО ";false;"Эвенкийский АО "
125;6;"Ямало-Ненецкий АО ";false;"Ямало-Ненецкий АО "
126;6;"Ярославская область ";false;"Ярославская область "
