"rid";"_categories_rid";"_parent_rid";"level"
13360;1275;100;1
13361;1275;1273;2
13362;1276;100;1
13363;1276;1273;2
13364;1277;1266;1
13365;1278;1266;1
13366;1279;1266;1
13367;1280;1266;1
13368;1281;1266;1
13369;1282;1266;1
13370;1283;1266;1
13371;1284;1266;1
13372;1285;1266;1
13373;1286;1266;1
13374;1287;1266;1
13375;1288;1266;1
13376;1289;1266;1
13377;1290;1266;1
13378;1291;1266;1
13379;1292;1266;1
13380;1293;1266;1
13381;1294;1266;1
13382;1294;1277;2
13383;1295;1266;1
13384;1295;1277;2
13385;1296;1266;1
13386;1296;1277;2
13387;1297;1266;1
13388;1297;1279;2
13389;1298;1266;1
13390;1298;1279;2
13391;1299;1266;1
13392;1299;1279;2
13393;1300;1266;1
13394;1300;1279;2
13395;1301;1266;1
13396;1301;1280;2
13397;1302;1266;1
13398;1302;1280;2
13399;1303;1266;1
13400;1303;1280;2
13401;1303;1301;3
13402;1304;1266;1
13403;1304;1282;2
13404;1305;1266;1
13405;1305;1282;2
13406;1306;1266;1
13407;1306;1282;2
13408;1307;1266;1
13409;1307;1282;2
13410;1308;1266;1
13411;1308;1282;2
13412;1309;1266;1
13413;1309;1282;2
13414;1310;1266;1
13415;1310;1282;2
13416;1311;1266;1
13417;1311;1282;2
13418;1312;1266;1
13419;1312;1284;2
13420;1313;1266;1
13421;1313;1288;2
13422;1314;1266;1
13423;1314;1288;2
13424;1315;1266;1
13425;1315;1288;2
13426;1316;1266;1
13427;1316;1288;2
13428;1317;1266;1
13429;1317;1288;2
13430;1318;1266;1
13431;1318;1288;2
13432;1319;1266;1
13433;1319;1288;2
13434;1320;1266;1
13435;1320;1290;2
13436;1321;1266;1
13437;1321;1292;2
13438;1322;1266;1
13439;1322;1292;2
13440;1323;1266;1
13441;1323;1292;2
13442;1324;1266;1
13443;1324;1292;2
13444;1325;1266;1
13445;1325;1292;2
13446;1326;106;1
13447;1326;205;2
13448;1327;106;1
13449;1327;214;2
13450;1327;263;3
13451;1328;106;1
13452;1328;214;2
13453;1328;263;3
13454;1329;106;1
13455;1329;214;2
13456;1329;263;3
13457;1330;106;1
13458;1330;214;2
13459;1330;263;3
13460;1331;106;1
13461;1331;214;2
13462;1331;263;3
13463;1332;106;1
13464;1332;214;2
13465;1332;263;3
13466;1333;106;1
13467;1333;214;2
13468;1333;263;3
13469;1334;106;1
13470;1334;214;2
13471;1334;263;3
13472;1335;106;1
13473;1335;214;2
13474;1335;263;3
13475;1336;106;1
13476;1336;214;2
13477;1336;263;3
13478;1337;106;1
13479;1337;214;2
13480;1337;263;3
13481;1338;106;1
13482;1338;214;2
13483;1338;263;3
13484;1339;106;1
13485;1339;214;2
13486;1339;263;3
13487;1340;106;1
13488;1340;208;2
13489;1341;106;1
13490;1341;209;2
13491;1342;87;1
13492;1343;87;1
13493;1343;1342;2
13494;1344;87;1
13495;1344;1342;2
13496;1345;87;1
13497;1345;1342;2
13498;1346;87;1
13499;1346;1342;2
13500;1347;87;1
13501;1347;122;2
13502;1348;87;1
13503;1348;123;2
13504;1349;87;1
13505;1349;123;2
13506;1350;87;1
13507;1350;1152;2
13508;1350;128;3
13509;1351;87;1
13510;1351;1152;2
13511;1351;128;3
13512;1352;87;1
13513;1352;1152;2
13514;1352;128;3
13515;1353;87;1
13516;1353;1152;2
13517;1353;128;3
13518;1354;87;1
